oID,dID,oParent,oName,oDescription,oBody,oLink,oSubLink,isPublic,isDeleted
59,1,0,"MC_Trailers","Trailers","<center>
<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr align=""left"" valign=""top"">
  <td><img src=""images/tn_UTM first name.jpg""> </td>
  <td width=""10""> </td>
  <td>
  	<p align=""justify""><strong>Program Details</strong><br />
  Utility Trailer Sales of  Colorado offers MillerCoors Distributors Utility 4000D-X Composite dry van  trailers.  Customize each trailer to your  application by adding from the many options available. Your trailer will be  drop-shipped to your location.   Refrigerated trailers are also available through this program.</p>
<p><strong>Benefits</strong><br />
  Receive the below pricing on  Utility trailers for the Utility 4000D-X dry van 53??? x 102??? air ride slider,  which includes all base specifications:</p>
<ul>
  <li>1-5 trailers purchased, price per trailer = $25,990.00   </li>
  <li>6-10 trailers purchased, price per trailer = $25,740.00     </li>
  <li>11+ trailers purchased, price per trailer = $25,490.00     </li>
</ul>
<p align=""justify""><a href=""dl/Utility Options_020911_FINAL.pdf"">Click here</a> to view a popular list of options and pricing to customize the above trailer to your needs.  (Please note all options offered by Utility are available through this program even if not specified on the attached list.)   </p>
<p><strong>How to Use the Program</strong><br />
  To purchase, obtain a quote  or acquire additional information on a Utility trailer, please contact the  following Sales Representative with Utility Trailer Sales of Colorado:<br />
  <br />
  KC Everett <br />
<span class=""style19"">T </span> 303-295-1197 <span class=""style19"">C </span> 720-299-6751<span class=""style19""> E </span>  <a href=""mailto:kceverett@utilitytrailer.net"">kceverett@utilitytrailer.net</a></p>
</body>
</html>
 </p>  	</td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>
</center>","",0,1,0
60,2,0,"NS_Tires","Tires","

<body>
<p align=""center"">The following two vendors offer Network Services Distributors discounted commercial, passenger, light truck and retread tire options.<br>
Please click on the links below to view the details of each program. </p>
<p align=""center""><a href=""http://distributorssolutions.com/?pageid=50"">Goodyear</a> / <a href=""http://distributorssolutions.com/?pageID=51"">Michelin</a> </a></p>
</body>
</html>","",0,1,0
61,2,0,"NS_DeliveryInsurance","Delivery Insurance","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><div align=""left""><img src=""images/tn_Lamprey.jpg"" width=""300"" height=""100"" align=""top""> </div></td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top""><strong>Program Details <br>
</strong>Lamprey Systems offers Network Services Distributors a full service refund solution for delinquent FedEx and UPS shipments. Lamprey Systems' proprietary software tracks all shipments and submits refund requests for all late deliveries. </p>
<p>Currently, refund requests follow less than 1% of late deliveries while up to 5% of all FedEx and UPS deliveries are late. This means that a company spending $9000 per month on UPS and/or FedEx shipping is typically eligible for approximately $2,500-$5,500 in annual refunds. </p>
<p><strong>Benefits </strong> <br>
	<strong>  ??? </strong>No up front fees, required software or interruption <br>
	<strong>  ??? </strong>Credits applied directly to your bill <br>
 	<strong>  ??? </strong>Receive a free detailed weekly Airbill summary which includes detailed tracking and signature information <br>
	<strong>  ??? </strong>Eliminate time spent on submitting and monitoring refund requests </p>
  
<p><strong>How to use the program <br>
	<strong>  ??? </strong></strong><a href=""http://www.lampreysystems.com/register"">Click here</a> to complete the contact form<br>
	<strong>  ??? </strong>A Lamprey Systems Representative will contact you within 24-48 hours to schedule a phone call to set up your accounts <br>
	<strong>  ??? </strong>You will begin saving money within two business days from the time Lamprey Systems begins processing your invoices <br>
	<strong>  ??? </strong>You will receive a monthly invoice from Lamprey Systems charging 50% of your actual savings </p>
<p>  For further information, please contact Lamprey Systems Senior Account Director:</p>
<p>William Reed <br>
  <span class=""style19"">T</span> 212-996-9604 <span class=""style19"">E</span> <a href=""mailto:wreed@lampreysystems.com"">wreed@lampreysystems.com</a></p>
<p>  </p>   </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">

    	<p>Please contact Anne Drolet, DSI Director of Business Development, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3247 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>","",0,1,0
62,3,0,"JM_RentalCars","Rental Cars","
<body>
<p align=""center"">The below links provide Johns Manville Pinnacle and Summit contractors with rental car options.  Please note that we understand that from time to time you may be able to source rental cars at greater discounts through various methods.  These four programs provide you with discounts that can be utilized year round. <br>
Please click on the links below to view the details of each program. </p>
<p align=""center""><a href=""http://distributorssolutions.com/?pageid=42"">Avis</a> / <a href=""http://distributorssolutions.com/?pageid=43"">Budget</a> </p>
</body>
</html>","",0,1,0
63,2,0,"NS_RentalCars","Rental Cars","
<body>
<p align=""center"">The below links provide Network Services distributors with rental car options.  Please note that we understand that from time to time you may be able to source rental cars at greater discounts through various methods.  These four programs provide you with discounts that can be utilized year round. <br>
Please click on the links below to view the details of each program. </p>
<p align=""center""><a href=""http://distributorssolutions.com/?pageid=54"">Avis</a> / <a href=""http://distributorssolutions.com/?pageid=53"">Budget</a> </p>
</body>
</html>","",0,1,0
64,2,0,"NS_Fleet","Fleet","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
  <tr>
   <td align=""left"" valign=""top""><div align=""center""><img src=""/images/GreenGM.png"" width=""300"" height=""300""></div></td>
   <td></td>
  <td align=""justify"" valign=""top"">
	<p><strong>Program Details<br />
</strong>General Motors Fleet and Commercial Operations offers Network Services distributors the Competitive Assistance Program (CAP) for the 2009 model year. </p>
<p><strong>Benefits <br>
    </strong>  ???  Incentives range between $750 and $2,000; amount is deducted off your invoice price. 
<br>
   </strong>  ???  Additional incentives will be available once 25 total vehicles have been purchased by the Network Services        distributors. </p>
<p><strong>How to use the program <br>
   </strong>  ???  Negotiate your best deal with your local GM dealer on the vehicle you require and receive an incentive off your        invoice price. 
<br>
   </strong>  ???  <a href=""/dl/2009_GM_CAP_Agreement_NetworkServices.pdf"">Click here</a> to download more specific program information, along with the forms needed to bring to the dealer or        leasing company. <strong>Please bring the entire download to your dealer or leasing company.<br>
   </strong>  ???  Processing Code FA1 and Fleet Account Number (FAN) 420903 </strong> is required on all vehicle order requests and        delivery reporting data for models specified as eligible for the Competitive Assistance Program. It is imperative that        you communicate Processing Code FA1 and FAN 420903 to your dealer or leasing company prior to placing an        order. 
<br>
   </strong>  ???  Only one incentive can be applied, i.e. a retail incentive can not be combined with the CAP fleet incentive. However,        if the retail incentive is greater than the CAP fleet incentive, you are eligible for a $250 invoice credit in addition        to the retail incentive as long as the transaction is recorded under Network Services FAN 420903. </p>
<p>If you have any questions, please contact Anne Drolet, DSI Director of Business Development: <br>
<span class=""style19"">T</span> 303-827-4483 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com </a></p>
<p>Or </p>
<p>Dwight Leski, GM Fleet Account Executive / Western Region <br>
  <span class=""style19"">T</span> 303-921-0698 <span class=""style19"">E</span>  <a href=""mailto:dwight.leski@gm.com"">dwight.leski@gm.com</a></p>


    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>","",0,0,0
65,3,0,"JM_Fleet","Fleet","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
  <tr>
   <td align=""left"" valign=""top""><div align=""center""><img src=""/images/GreenGM.png"" width=""300"" height=""300""></div></td>
   <td></td>
  <td align=""justify"" valign=""top"">
	<p><strong>Program Details<br />
</strong>General Motors Fleet and Commercial Operations offers Johns Manville Pinnacle and Summit contractors the Competitive Assistance Program (CAP) for the 2009 model year. </p>
<p><strong>Benefits <br>
</strong>  ???  Incentives range between $500 and $3,000; amount is deducted off your invoice price. 
<br>
</strong>  ???  Additional incentives will be available once 25 total vehicles have been purchased by the Johns Manville Pinnacle and      Summit contractors. </p>
<p><strong>How to use the program <br>
</strong>  ???  Negotiate your best deal with your local GM dealer on the vehicle you require and receive an incentive off your      invoice price. 
<br>
</strong>  ???  <a href=""/dl/2009 GM CAP Agreement Johns Manville v2.pdf"">Click here</a> to download more specific program information, along with the forms needed to bring to the dealer or      leasing company. <strong>Please bring the entire download to your dealer or leasing company.<br>
</strong>  ???  Processing Code FA1 and Fleet Account Number (FAN) 808803 </strong> is required on all vehicle order requests and delivery      reporting data for models specified as eligible for the Competitive Assistance Program. It is imperative that you      communicate Processing Code FA1 and FAN 808803 to your dealer or leasing company prior to placing an order. 
<br>
</strong>  ???  Only one incentive can be applied, i.e. a retail incentive can not be combined with the CAP fleet incentive. However,      if the retail incentive is greater than the CAP fleet incentive, you are eligible for a $250 invoice credit in addition to the      retail incentive as long as the transaction is recorded under Johns Manville's FAN 808803. </p>
<p>If you have any questions, please contact Anne Drolet, DSI Director of Business Development: <br>
        <span class=""style19"">T</span> 303-827-4483 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com </a></p>
<p>Or </p>
<p>Dwight Leski, GM Fleet Account Executive / Western Region <br>
  <span class=""style19"">T</span> 303-921-0698 <span class=""style19"">E</span> : <a href=""mailto:dwight.leski@gm.com"">dwight.leski@gm.com</a></p>


    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>","",0,0,0
66,3,0,"JM_Computers","Computers","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr valign=""top"">
  <td><div align=""center""><img src=""images/tn_Dell_Logo_blue6.gif"" width=""200"" height=""60"" align=""top"" /> </div></td>
  <td width=""10""> </td>
  <td>
	<p align=""justify""><strong>Program Details <br />
	</strong>Dell offers Johns Manville Pinnacle and Summit contractors exceptional pricing for your computing needs. Through this program, you will be able to purchase some of Dell's renowned corporate products as well as their award winning consumer products. </p>
	<p align=""justify"">Dell has created several configurations for both laptop and desktop computer systems.  These systems are already discounted heavily and provide your business with the easiest way to acquire new computer hardware at a low price with the greatest ease.  </p>
	<p align=""justify"">Please note if you require a computer system that is outside of the preconfigured and discounted units, please contact a dedicated Dell sales representative at the toll free number below.  They will be happy to help you find the right system for your use and will still provide a great discount. <br />
	  <br />
	  <span style=""font-weight: bold"">Benefits </span><br />
	  <strong>  ??? </strong> Discounted corporate products.<br />
      <strong>  ??? </strong> Up to a 4 year warranty on all computer purchases. <br />
      <strong>  ??? </strong> Most corporate-class systems (Optiplex and Latitude) come standard with a 3 year next business day on-site service and 24/7 technical support via phone. <br /></p>
	<p align=""justify""><strong>How to Use the Program<br />
	</strong><a href=""http://www.dell.com/johnsmanville"">Click here</a>  to purchase a preconfigured, discounted unit on the Dell website tailored for Johns Manville Pinnacle and Summit contractors. </p>
	<p align=""justify"">If you plan to change even one configuration on Dell/JM website noted above please call the following affiliate program number as the above site is restricted to discounted pricing on the preconfigured units and cannot aggressively recalculate reconfigured units: <span class=""style19"">T</span> 1-866-746-4977 </p>
	<p align=""justify"">Choose option 3 and note your member ID is <strong>GS97512392 </strong>. </p>
	<p align=""justify""><strong>Other Benefits for Employees and Their Families <br />
	</strong>Employees, friends, and family of Johns Manville Pinnacle and Summit contractors receive the following: <br />
      <strong>  ??? </strong> Buy with ease. Order from the showcased systems, which are pre-loaded with a lot of great features. These systems are built exclusively for you and offer additional savings providing the best value on a Dell Home PC.* <br />
      <strong>  ??? </strong> Customize your system. Alternatively, meet your unique needs by customizing any system and getting an additional 7% discount on top of generally advertised Dell Home and Home Office promotions. <br />
      <strong>  ??? </strong> Add the extras. For the first time ever, get an additional 7% off electronics and accessories on top of generally advertised Dell Home and Home Office promotions. <br />
      <strong>  ??? </strong> Call-in Price Guarantee.** If you find a better deal on a new Dell home system anywhere on dell.com/home, call one of our EPP sales representatives at 1-800-695-8133 to beat the current Dell Home PC price.    </p>
	<p align=""justify"">        <a href=""http://www.dell.com/johnsmanville"">Click here</a> to start saving now.<br />
        <br />
	  </p></td>
 </tr>
 <tr>
   <td colspan=""3""><div align=""justify""><span style=""font-style: italic; font-size:9px"">For shipments of certain products to California, state environmental fee of up to $10 per item will be added at order invoice. For shipments of certain items to Alberta, Canada, a provincial environmental fee will be applied to your invoice. Pricing, specifications, availability and terms of offers may change without notice and are not transferable. Offers may not be combined with other discounts or promotional offers. Taxes, fees, shipping and handling and any applicable restocking charges are extra, vary, and are not subject to discount. Offer valid only for end-user customers and not for resale by customer. Dell cannot be responsible for pricing or other errors, omissions, or consequences of misuse of site and its functions and reserves the right to cancel orders arising from such errors. Refer to your invoice for final information regarding order detail, including tax & shipping amounts. Prices have been rounded to the nearest dollar for online display. Additional terms and conditions may apply. All sales are subject to Dell's Terms and Conditions of Sale located at <a href=""http://www.dell.com"">www.dell.com</a> unless you have a separate written agreement with Dell. Limit 5 promotional units per customer. <br />
       </span><span style=""font-size: 9px; font-style: italic;"">* Employee Purchase Program Value Information: Employee discounts taken on top of most generally advertised Dell Home and Home Office prices and promotions (Home Office special offers and coupons may be excluded). <br />
       ** Call-In Price Guarantee: Based on current configurations and promotions at www.dell.com/home. Discounting does not extend to retail store or any third-party pricing, Dell.com refurbished sales, or any offers or promotions outside the www.dell.com/home Website. Discount applied only to current dell.com/home offers for identical configurations. </span><span style=""font-style: italic; font-size:9px""><br />
      </span></div></td>
 </tr>
 <tr>
   <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Anne Drolet, DSI Director of Business Development, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3247 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>","",0,1,0
67,1,0,"MC_LoadingDock","Loading Dock Equipment & Accessories","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><div align=""left""><img src=""images/Arbon_RH.png"" width=""271"" height=""92"" align=""top""> </div></td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top""><strong>Program Details <br>
</strong>Rite-Hite Corporation is a world-wide leader in the development, manufacture, and sale of loading dock safety systems and industrial door solutions. Their products are designed for maximum safety, productivity, and reduced operating costs at your facility. <br>
    <br>
  Rite-Hite offers MillerCoors Distributors a 10% minimum discount off their complete product line including hydraulic, mechanical and air-powered dock levelers, vehicle restraints, truck levelers, Frommelt dock seals and shelters, high speed doors, cooler/freezer doors, traffic/impact doors, safety barrier systems, and industrial ceiling fans. </p>
<p>Please note installation and removal pricing will be obtained by Rite-Hite from the Rite-Hite Representative in whose territory the facility is located. Pricing will be based on a job to job basis. Additionally, Global Account Planned Maintenance pricing can be determined based on individual facility locations. </p>
<p><a href=""http://www.ritehite.com/distrsolutions/globalaccount.nsf"">Click here</a>  for more information on Rite-Hite products. </p>
<p><strong>Benefits <br>
</strong>???  10% minimum discount on all new products <br>
???  2 year Money Back Guarantee of Customer Satisfaction <br>
???  10 year Dock Leveler Structural Warranty on leveler structure (deck section, lip section, front and rear hinge) with executed DLIG form. </p>
<p><strong>How to Use the Program<br>
</strong>To purchase, obtain a quote or acquire additional information regarding Rite-Hite's products, please contact the following Sales Representative with Arbon Equipment Coporation: </p>
<p>Matt Manone <br>
 <span class=""style19"">T</span> 303-576-6400 <span class=""style19"">E</span> <a href=""mailto:mmanone@ritehite.com"">mmanone@ritehite.com </a></p>
<p>Or, please contact the following Vice President of Sales with Rite-Hite: </p>
<p>Ken Markham <br>
<span class=""style19"">T</span> 816-665-6870 <span class=""style19"">E</span> <a href=""mailto:kmarkham@ritehite.com"">kmarkham@ritehite.com</a></p>
	
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Jon Wormsley, DSI Director of Business Development, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-5725 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:jwormsley@dsi-mail.com"">jwormsley@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>","",0,1,0
68,1,0,"MC_IndustrialCoolerDoors","Industrial & Cooler Doors","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><div align=""left""><img src=""images/Arbon_RH.png"" width=""271"" height=""92"" align=""top""> </div></td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top""><strong>Program Details <br>
</strong>Rite-Hite Corporation is a world-wide leader in the development, manufacture, and sale of loading dock safety systems and industrial door solutions. Their products are designed for maximum safety, productivity, and reduced operating costs at your facility. <br>
    <br>
  Rite-Hite offers MillerCoors Distributors a 10% minimum discount off their complete product line including hydraulic, mechanical and air-powered dock levelers, vehicle restraints, truck levelers, Frommelt dock seals and shelters, high speed doors, cooler/freezer doors, traffic/impact doors, safety barrier systems, and industrial ceiling fans. </p>
<p>Please note installation and removal pricing will be obtained by Rite-Hite from the Rite-Hite Representative in whose territory the facility is located. Pricing will be based on a job to job basis. Additionally, Global Account Planned Maintenance pricing can be determined based on individual facility locations. </p>
<p><a href=""http://www.ritehite.com/distrsolutions/globalaccount.nsf"">Click here</a>  for more information on Rite-Hite products. </p>
<p><strong>Benefits <br>
</strong>???  10% minimum discount on all new products <br>
???  2 year Money Back Guarantee of Customer Satisfaction <br>
???  10 year Dock Leveler Structural Warranty on leveler structure (deck section, lip section, front and rear hinge) with executed DLIG form. </p>
<p><strong>How to Use the Program<br>
</strong>To purchase, obtain a quote or acquire additional information regarding Rite-Hite's products, please contact the following Sales Representative with Arbon Equipment Corporation: </p>
<p>Matt Manone <br>
 <span class=""style19"">T</span> 303-576-6400 <span class=""style19"">E</span> <a href=""mailto:mmanone@ritehite.com"">mmanone@ritehite.com </a></p>
<p>Or, please contact the following Vice President of Sales with Rite-Hite: </p>
<p>Ken Markham <br>
<span class=""style19"">T</span>816-665-6870 <span class=""style19"">E</span><a href=""mailto:kmarkham@ritehite.com"">kmarkham@ritehite.com</a></p>
	
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>","",0,1,0
69,3,0,"JM_Plotters","Plotters","","",0,0,0
70,2,0,"NS_HealthInsurance","Health Insurance","","",0,0,1
71,2,0,"NS_FuelHedging","Fuel Hedging","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><div align=""left""><img src=""images/AIBD.png""> </div></td>
  <td width=""10""> </td>
  <td align=""justify""><strong>Program Details <br> </strong>
Protect yourself from spikes in fuel costs by utilizing the fuel hedging program offered to Network Services Distributors by the Coca-Cola Bottler's Association (???CCBA???). This program allows Network Services Distributors, through DSI, to participate in the existing fuel hedging program for Coca-Cola bottlers. </p>
<p>As you know, changes in market (pump) prices of fuel are driven by global market forces and can be effected with limited time lag. Any fuel user can participate in the futures market and lock in and protect their fuel cost subject to trading minimums of 42,000 gallons a month per call option. However, CCBA has designed this program to accommodate smaller call option contracts ??? allowing you to purchase contracts directly from CCBA in 1,000 gallon increments. Please note you do not take possession of fuel through this program ??? this works like insurance. You have a contract that if fuel goes above a certain level, you will receive a monetary settlement. </p>
<p><a href=""http://distributorssolutions.com/dl/NS Fuel Hedging FAQ_011811.pdf"">Click here </a> for answers to your Frequently Asked Questions regarding the fuel hedging program as well as an example of how a call option can protect your price of fuel. </p>
<p><strong>Benefits</strong></p>
<ul>
  <li>Lock in your price of fuel</li>
  <li>Budget accurately for fuel for the year ahead </li>
</ul>
<p><strong>How to Use the Program </strong><br>
  The process to participate in the CCBA fuel hedging program is as follows: </p>
<ol>
   <li> Attend the next scheduled informational conference call on <strong> Wednesday, April 6 at 3pm EST.</strong> Contact Anne Drolet at 303-277-3247 or <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a> to register for this call. (Participation on this call does not create any obligations.)<br><br>
  </li>
  <li>Contact Anne Drolet with any general questions or for more information on options, market conditions, and pricing.<br><br>
  </li>
  <li>Complete the <a href=""http://distributorssolutions.com/dl/CCBAFuelHedgingApplication.pdf"">CCBA Credit Application</a>. Once you've completed this form, fax or email it to Anne Drolet at 303-277-2463 or <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a>.
    <br><br>
</li>
  <li> Anne Drolet will contact you once your application has been approved. <br> <br>
  </li>
  <li>To partake in the program, contact Ann Burton, CFO of CCBA, at 678-539-2302 or <a href=""mailto:aburton@ccbanet.com"">aburton@ccbanet.com </a> to discuss the current pricing, quantity and timeframe of the diesel/unleaded gasoline you want to hedge. Quantities need to be in 1,000 gallon increments. <br> <br>
  </li>
  <li>The contracts will then be bought and distributors will be invoiced immediately (payment for the contracts is due upon invoice receipt). <br> <br>
  </li>
  <li>At the end of each month, the average diesel <a href=""http://www.cmegroup.com/trading/energy/refined-products/heating-oil.html"">(CME Group New York Harbor Heating Oil Price) </a> and unleaded gasoline <a href=""http://www.cmegroup.com/trading/energy/refined-products/rbob-gasoline-cash-settled.html"">(CME Group RBOB Gasoline) </a> is published and within 10 days, settlement will be made between CCBA and each Network Services Distributor. <br><br>
    <br>
    <a href=""http://www.cmegroup.com/trading/energy/refined-products/heating-oil.html"">(Click here to view CME Group New York Harbor Heating Oil Prices) </a><br>
    <a href=""http://www.cmegroup.com/trading/energy/refined-products/rbob-gasoline-cash-settled.html"">(Click here to view CME Group RBOB Gasoline Prices)</a></p>

	</td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Anne Drolet, DSI Director of Business Development, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3247 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>","",0,1,0
