pID,pTitle,pComments,pBody,isPublic,isDeleted
25,"Ryder","MC","<center>
  <table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr align=""left"" valign=""top"">
   <td width=""295""><img src=""images/RyderLogo.png"" width=""289"" height=""97"" align=""left""> </td>
   <td width=""8""> </td>
  <td width=""549""><p align=""justify""><strong>Program Details <br>
</strong>Ryder offers MillerCoors Distributors discounted pricing for both full service truck leasing options (with the ability to spec out a truck of your choice) and Ryder Level II RPM (Ryder Program Maintenance) guaranteed maintenance program. </p>
<p>For additional information regarding full service truck leasing with Ryder <a href=""http://distributorssolutions.com/dl/080408RYDER.pdf"">click here</a>. </p>
<p>For more information on Ryder or to view truck options <a href=""http://www.ryder.com/fms_home.shtml"">click here</a>. </p>
<p><strong>Benefits </strong></p>
<ul>
  <li> National Preferred lease pricing and Ryder Level II RPM guaranteed maintenance program </li>
  <li> Receive $750 per vehicle as a credit off your first invoice from Ryder </li>
  <li> Receive a $125 rebate per vehicle for renewing or signing a new Ryder Level II RPM guaranteed maintenance program agreement  </li>
  <li> <a href=""http://distributorssolutions.com/dl/100108_Ryder.pdf"">Click here </a> for more information on Ryder's comprehensive strategy to purchase your owned or leased units as part of its ???Vehicle Purchase and Lease Back Program </li>
</ul>
<p><strong>How to Use the Program <br>
</strong>For more information regarding this program, please contact the following VP of Industry Sales with Ryder: </p>
<p>Adriano Melluzzo  <br>
  <span class=""style19"">T</span> 860-240-5760 <span class=""style19"">E</span> <a href=""mailto:Amelluzzo@ryder.com"">Amelluzzo@ryder.com</a> </p>
<p><strong>To receive the $750 or $125 payments respectively, you must contact Adriano Melluzzo. </strong></p>	</td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>
</center>",0,0
29,"LeadershipTeam (Anne)","ALL","<table width=""90%"" border=""0"" cellpadding=""5"" cellspacing=""5"">
 <tr>
  <td width=""35%"" align=""left"" valign=""top"">
  	<table width=""315"" border=""0"" cellpadding=""2"" cellspacing=""2"">
    <tr>
      <td noWrap><a href=""?pageid=3"">Stephen Largan - Chairman ></a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=4"">Salim Haji - Chief Executive Officer > </a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=5"">Ali (Magel) Comeaux - General Manager ></a></td>
     </tr>
     <tr>      
       <td noWrap><a href=""?pageid=29"">Anne Drolet - Director of Business Development > </a></td>
    </tr>
<tr>
      <td noWrap><a href=""?pageid=96"">Jon Wormsley - Director of Business Development > </a></td>
    </tr>
    </table>  </td>
  <td width=""61%"" align=""justify"" valign=""top"">
	<font color=""#F20000"">Anne Drolet - Director of Business Development </font>
    <p align=""justify"">Ms. Drolet joined DSI from a varied background in management consulting. Clients ranged from small, independently owned boutiques to a French chateau bed and breakfast to a leading national health insurance company. </p>
    <p align=""justify"">Ms. Drolet holds a BS in Kinesiology with a Certificate in Business from Indiana University and an  MBA from the University of Denver. 
</p>  
</td>
 </tr>    
 
</table>",1,0
30,"test program page","test","test",0,1
31,"Racking","MC","<p align=""center""><a href=""/dl/Boston%20Rack.pdf"">Boston Rack</a> / <a href=""/dl/Example_Typical%20Layout%20of%20Miller%20Distributor.pdf"">Example_Typical Layout of MillerCoors Distributor</a></p>	</td>",0,0
32,"New Program Email","Jan 20","The following purchasing opportunities have recently been added to the Distributors Solutions website:

Rental Cars: Avis
???	Receive 5-20% discounts on rental cars year round
???	Avis Preferred Service® - Your reservations will be faster, and your car and rental documents will be waiting for you when you arrive
???	Employees of MillerCoors distributors receive the same discounts and benefits as noted above for your personal use

Rental Cars: Budget
???	Receive 5-20% discounts on rental cars year round
???	Budget FastBreak Service ???Fastbreak is Budget's express service that lets you skip the line so you can go directly to your car and Get In, Get Out, Get Going on your way fast!
???	Employees of MillerCoors distributors receive the same discounts and benefits as noted above for your personal use

To view the details of new and existing purchasing programs, login to the Distributors Solutions website at http://distributorssolutions.com/login.asp.

If you have any questions or comments, please contact Ali Magel, DSI Business Manager, at 303-277-3359 or amagel@dsi-mail.com.
    

* Please note that all program prices have been negotiated by DSI for the benefit of MillerCoors Distributors.  The negotiated prices are confidential and proprietary to DSI and MillerCoors Distributors and may not be disclosed to outside suppliers.

",0,1
33,"Avis","MC","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><img src=""images/tn_avis_logo_wtr600.gif"" width=""300"" height=""160"" /> </td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top"">
	<p align=""justify""><strong>Program Details<br />
  </strong>Avis Rent A Car System, LLC and its subsidiaries operate one of the world's leading car rental brands, providing business and leisure customers with a wide range of services at more than 2,000 locations in the United States, Canada, Australia, New Zealand, Latin America and the Caribbean region. Avis is one of the world's top brands for customer loyalty, ranking as the number one car rental company in the Brand Keys® Customer Loyalty Index for the past eight years. </p>
    <p>Avis offers MillerCoors Distributors discounts on rental cars as well as the highest level of service. </p>
    <p><strong>Benefits<br />
</strong>
<ul>
<li>Receive 5-20% discounts on rental cars  - the Avis Worldwide Discount (AWD) number W988100 will automatically shop for the lowest rate available. <br> 
<li>Year-round member savings  - Avis offers MillerCoors Distributors great money-saving coupons on top of special weekend, weekly and monthly rates. Click on the link below for more information. <br> 
<li>Avis Preferred Service® </a> - Discover a faster and simpler way to travel with Avis Preferred Service - available at nearly 1,400 locations worldwide. Your reservations will be faster, and your car and rental documents will be waiting for you when you arrive. Plus, you'll enjoy amenities like new cars, door-to-door directions, local weather information and help with your luggage; and a free copy of The Wall Street Journal at major U.S. airport locations. </li></ul></span></p>
    <p><strong>How to Use the Program<br />
    </strong><a href=""http://www.avis.com/AvisWeb/html/bridge/go.ex?W988100"">Click here</a> to reserve a rental car with Avis. </p>
    <p>You can also enroll to receive a unique Avis Wizard Number* by clicking on the link above. You can begin using the Avis Wizard Number immediately for all of your reservations. <strong></strong>Click on the ???Enroll Now??? button under Avis Preferred Service. </p>
    <p>If you have any questions regarding the Avis program, please contact Robin Shelton at 1-800-525-7521 x31213 and reference AWD# W988100. </p>
    <p><strong>* </strong> Complimentary enrollment for an Avis Wizard Number is available to residents of the U.S. and Canada. </p>
   <p><strong>Other Benefits for Employees <br />
    </strong>In addition, this program also offers employees of MillerCoors Distributors the same discounts and benefits as noted above for your personal use. </p>
</strong>Please note that the reservation has to be made in the name of the person who will be picking up the car.  </p>
    <p><a href=""http://www.avis.com/AvisWeb/html/bridge/go.ex?W988100"">Click here</a>  to reserve a rental car with Avis. </p></td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>
<!-- Start of StatCounter Code -->
<script type=""text/javascript"">
var sc_project=4424763; 
var sc_invisible=1; 
var sc_partition=55; 
var sc_click_stat=1; 
var sc_security=""382eebab""; 
</script>

<script type=""text/javascript"" src=""http://www.statcounter.com/counter/counter.js""></script><noscript><div class=""statcounter""><a title=""myspace visitor"" href=""http://www.statcounter.com/myspace/"" target=""_blank""><img class=""statcounter"" src=""http://c.statcounter.com/4424763/0/382eebab/1/"" alt=""myspace visitor"" ></a></div></noscript>
<!-- End of StatCounter Code -->

</center>
<!--#include file=""includes/footer.asp""-->

",0,0
34,"Budget","MC","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><img src=""images/tn_budget_logo600.gif"" width=""207"" height=""160"" /> </td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top"">
	<p align=""justify""><strong>Program Details <br />
	</strong>AEP offers MillerCoors Distributors both hand and machine stretch film in various gauges and sizes. </p>
	<p align=""justify""><strong>Benefits <br />
	</strong>Consolidated volume discounts. 3 pallet minimum order quantity. </p>
	<p align=""justify""><a href=""dl/010109_StretchHandwrap_AEP.pdf"">Click here</a> to view the details of the AEP stretch Handwrap film price list. </p>
	<p align=""justify""><a href=""dl/010109_StretchMachine_AEP.pdf"">Click here</a> to view the details of the AEP stretch Machine film price list. </p>
	<p align=""justify""><strong>How to use the program<br />
	</strong>To purchase stretch film from AEP, contact the following Customer Care Representative: </p>
	<p align=""justify"">Violet Royce <br />
      <span class=""style19"">T</span> 800-999-2374 Ext 7154 <span class=""style19"">E</span> <a href=""mailto:roycev@aepinc.com "">roycev@aepinc.com </a></p>
	<p align=""justify"">For product information or to obtain quotes on films not included in the above price lists, contact the following National Account Manager: </p>
	<p align=""justify"">Brad Blank <br />
      <span class=""style19"">T</span> 636-458-0471 Ext 4758 <span class=""style19"">E</span> <a href=""mailto:blankb@aepinc.com"">blankb@aepinc.com</a></p></td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali Magel, DSI Business Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>
<!-- Start of StatCounter Code -->
<script type=""text/javascript"">
var sc_project=4424763; 
var sc_invisible=1; 
var sc_partition=55; 
var sc_click_stat=1; 
var sc_security=""382eebab""; 
</script>

<script type=""text/javascript"" src=""http://www.statcounter.com/counter/counter.js""></script><noscript><div class=""statcounter""><a title=""myspace visitor"" href=""http://www.statcounter.com/myspace/"" target=""_blank""><img class=""statcounter"" src=""http://c.statcounter.com/4424763/0/382eebab/1/"" alt=""myspace visitor"" ></a></div></noscript>
<!-- End of StatCounter Code -->",0,1
35,"Budget","MC","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><img src=""images/tn_budget_logo600.gif"" width=""207"" height=""160"" /> </td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top"">
	<p align=""justify""><strong>Program Details<br />
  </strong>Budget Rent A Car is a global provider of business and consumer car rental services. Budget was founded in 1958 as a car rental company for the ""budget-minded"" renter. Today, as an industry leader, Budget continues to appeal to value-driven renters by offering quality vehicles and a rewarding rental experience at nearly 1,900 rental locations worldwide. </p>
    <p>Budget offers MillerCoors Distributors discounts on rental cars as well as the highest level of service. </p>
    <p><strong>Benefits</strong><br />
<ul>
<li>Receive 5-20% discounts on rental cars  ??? the Budget Corporate Discount (BCD) number R024400 will automatically shop for the lowest rate available <br> 
<li>Year-round member savings  ??? Budget offers MillerCoors Distributors great money-saving coupons whether you're renting at the airport or in your neighborhood. Click on the link below for more information. <br> 
<li>Budget FastBreak Service ??? Join Fastbreak® today! Fastbreak is Budget's express service that lets you skip the line so</span> you can go directly to your car and Get In, Get Out, Get Going on your way fast! </li></ul></p>
    <p><strong>How to Use the Program<br />
    </strong><a href=""http://www.budgetcarrental.com/budget/assoc/index.html?R024400"">Click here</a>  to reserve a rental car with Budget. </p>
    <p>You can also enroll in Fastbreak to receive a unique RapidRez ® Number (BCN)* by clicking on the link above. You can begin using the RapidRez ® Number immediately for all of your reservations. <strong></strong>Click on the ???Enroll Now??? button under Fastbreak. </p>
    <p>If you have any questions regarding the Budget program, please contact Budget Customer Service at 1-800-621-2844 and reference our BCD# R024400. </p>
    <p>*Complimentary enrollment is available to residents of the U.S. (including PR & USVI) and Canada. </p>
    <p><strong>Other Benefits for Employees <br />
    </strong>In addition, this program also offers employees of MillerCoors Distributors the same discounts and benefits as noted above for your personal use. </p>
</strong>Please note that the reservation has to be made in the name of the person who will be picking up the car.  </p>
    <p><a href=""http://www.budgetcarrental.com/budget/assoc/index.html?R024400"">Click here</a>  to reserve a rental car with Budget. </p></td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>
</center>
<!--#include file=""includes/footer.asp""-->


<!-- Start of StatCounter Code -->
<script type=""text/javascript"">
var sc_project=4424763; 
var sc_invisible=1; 
var sc_partition=55; 
var sc_click_stat=1; 
var sc_security=""382eebab""; 
</script>

<script type=""text/javascript"" src=""http://www.statcounter.com/counter/counter.js""></script><noscript><div class=""statcounter""><a title=""myspace visitor"" href=""http://www.statcounter.com/myspace/"" target=""_blank""><img class=""statcounter"" src=""http://c.statcounter.com/4424763/0/382eebab/1/"" alt=""myspace visitor"" ></a></div></noscript>
<!-- End of StatCounter Code -->",0,0
36,"Goodyear","JM","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><img src=""images/tn_Goodyear%20Blimp.jpg"" />  </td>
  <td width=""10""> </td>
  <td align=""justify"">
	<p align=""justify""><strong>Program Details <br />
	</strong>Goodyear Tire & Rubber Company offers Johns Manville Pinnacle and Summit contractors a complete line of commercial, passenger, light truck and retread tires. The following tires are eligible for purchase through the national accounts program at a reduced cost to each Contractor: Goodyear, Dunlop, Kelly and Retread Tires. </p>
	<p align=""justify"">With more than 8,000 Goodyear authorized dealers, Goodyear can meet your needs for tires and service across the US. Additional benefits of this program include nation-wide warranty, emergency road service 24/7, 365 days a year, and access to IT tools to support your tire management needs. </p>
<p align=""justify""><a href=""dl/Goodyear National Account Supplier List 5-20-2010.pdf"">Click here</a> to view a list of all Goodyear authorized dealers. </p>
	<p align=""justify""><strong>Benefits<br /></strong>
	<ul>
  <li>Commercial Truck Tires: <br>
  Average of 53% off base price for Goodyear and 49% off Dunlop Commercial Truck Tires
   <br><br>
  <li>Passenger and Light Truck Tires:  <br>
    28% discount off base price for Goodyear and Dunlop   <br><br>
  <li>Retread Tire<strong>s</strong>: <br>
    68% discount off base price for </li>
</ul>
	<p>* Kelly tires can only be purchased at Travel Centers of America (TA) locations </p>
	<p align=""justify""><strong>How to Use the Program<br />
	</strong>To purchase tires from Goodyear Tire & Rubber Company, complete both the <a href=""dl/Goodyear JM NA Purchase Agreement revised 011311.pdf"">National Account Purchase Agreement</a> and the <a href=""dl/Johns Manville Goodyear Enrollment Form 021611.pdf"">Enrollment Form</a> and fax or email them to: </p>
	<p align=""justify"">Anne Drolet, DSI Director of Business Development <br />
               <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
	<p align=""justify""> Once the forms are received and processed, a Goodyear employee will contact you to confirm your eligibility and advise when you can begin purchasing. 


 When purchasing you will be asked to provide your contractor number (This is the DCS# assigned by JM.  Anne Drolet, contact info above, can provide this number for you) <span style="""">and National Account # 4638 at</span> the point of sale. </p>
	
	<p align=""justify"">Should you have any questions regarding tire product or pricing information, please contact the following Goodyear Fleet Sales Manager: </p>
	<p align=""justify"">Kent Parry <br />
      <span class=""style19"">T</span> 510-220-2337 <span class=""style19"">E</span> <a href=""mailto:kent_parry@goodyear.com "">kent_parry@goodyear.com </a></p>	</td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<br>
    	<p>Please contact Anne Drolet, DSI Director of Business Development, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3247 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>",0,0
37,"Michelin","JM","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><img src=""images/tn_Michelin_logo_color.jpg"" width=""250"" height=""80"" /> </td>
  <td width=""10""> </td>
  <td align=""justify"">
	<p align=""justify""><strong>Program Details <br />
	</strong>Michelin North America, Inc is the largest tire manufacturer in the world.  Their reputation for quality products is second to none and they are committed to bringing the best products to Johns Manville Pinnacle and Summit contractors, including commercial, passenger and light truck tire options.   <br />
        <br />
  Additionally, Michelin Retread Technologies, Inc has raised the bar for all retreaders across the country. With over 75 retread plants in North America, there is an MRT Dealer near you where you can find retread tire options. <br />
  <br />
    With over 1,400 point of sale locations across the US, Canada, and Mexico, including both company owned and independent dealer distribution, Michelin will assist you to achieve your service needs. </p>
	<p align=""justify""><a href=""dl/MichelinCoors-Distributors%20Solutions%20-Tire%20Operations%20Manual%203-19-2008.pdf"">Click here</a> to view the Michelin Tire Operations Manual specific to Johns Manville Pinnacle and Summit contractors. </p>
	<p align=""justify""><strong>Benefits </strong><br />


<p align=""justify""><strong>Commercial Truck Tires <br /></strong>
<ul>
<li>Minimum of 51% off the base price for Commercial Truck Tires (not including Federal Excise Tax, ""FET"")</li>
<li><a href=""dl/Michelin Commercial Pricing 030111 Web.pdf"">Click here </a>for a list of custom selected Commercial Truck Tires utilized most often.</li></ul>
	
	<p align=""justify""><strong>Passenger and Light Truck Tires </strong><br />
	 <ul>
 <li> 39% off the base price for Michelin and BF Goodrich </li>
	  <li> 28% off the base price for Uniroyal </li>
  <li><a href=""dl/Michelin Passenger Light Truck Pricing 050111 Web.pdf"">Click here</a> for a list of custom selected Passenger and Light Truck Tires utilized most often.</li>
	  </ul>
	<p align=""justify""><strong>Retread Tires <br /></strong>
<ul>
	  <li> 42% off the base price of Pre-Mold Retreads</li>
	  <li> 35% off the base price of Custom Mold Retreads</li>
<li><a href=""dl/Michelin Retread Pricing 030111 Web.pdf"">Click here</a> for a list of custom selected Pre-Mold Retread Tires utilized most often.</li> </ul>

	<p align=""justify""><strong>How to Use the Program<br />
	</strong>To receive the discounted tire prices, complete the <a href=""dl/Michelin Fleet Account Application 101810.pdf"">NAFA Michelin Account Application</a> and fax, email or mail it to: </p>
	<p>Distributors Solutions LLC c/o MillerCoors <br />
	  Attn: Anne Drolet <br /> 
	  P.O. Box 4030, Mail Number BC500  <br />
	  Golden, CO 80401 <br />
          <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
	
	<p align=""justify"">Anne will work with Michelin to process your account. A Michelin employee will then contact you once your account is ready for purchasing and inform you of your Michelin specific ship-to number. You can then purchase tires at your local dealer or online utilizing your specific ship-to number. </p>
	
	<p align=""justify""><a href=""http://www.michelintruck.com"">Click here</a> to order online. </p>
	<p>For help in finding your local dealer, to obtain a quote, or for other questions related to purchasing, please contact:<br>
  <br>
  Joel York<br>
<span class=""style19"">T</span> 801-664-3941 <span class=""style19"">E</span>	  <a href=""mailto:Joel.York@us.michelin.com"">Joel.York@us.michelin.com</a></p>
</td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<br>
    	<p>Please contact Anne Drolet, DSI Director of Business Development, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3247 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>",0,0
38,"Fork Lifts - Nissan","JM","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
    <td align=""left"" valign=""top""><div align=""left""><img src=""images/GreenNissan.png"" width=""300"" height=""300"" /> </div></td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top"">	<p><strong>Program Details<br />
	  </strong>Nissan offers Johns Manville Coontractors the National Account program for fork lifts and pallet jacks. <br />
	  <a href=""dl/Nissan.pdf"">Click here</a> to view the Nissan fork lift options. 	</p>
	<p><strong>Benefits <br />
	</strong>Johns Manville Pinnacle and Summit contractors will receive the National Account rates for fork lifts and pallet jacks. </p>
	<p><strong>How to Use the Program<br />
	</strong>To receive the National Account rates, you must purchase directly from the National Account Manager. To obtain a quote or purchase a fork lift and/or pallet jack, contact the National Account Manager: </p>
	<p align=""left"">Kevin Rising  <br />
      <span class=""style19"">T</span> 815-568-4439  
 <span class=""style19"">E</span> <a href=""mailto:krising@nfcna.com"">krising@nfcna.com</a></p></td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    <br>
    	<p>Please contact Anne Drolet, DSI Director of Business Development, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3247 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>",0,0
39,"Fork Lifts - Hyster","JM","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><div align=""left""><img src=""images/Hyster.png"" width=""300"" height=""300"" /> </div></td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top"">
	<p><strong>Program <br />
	</strong>Hyster is one of the best known names in the industry, with a reputation of making durable lifting equipment dating back to the 1920's. For over eight decades Hyster has continuously developed its product offering and service network to become the leading international player it is today. </p>
	<p>Hyster offers Johns Manville Pinnacle and Summit contractors a comprehensive range of warehousing equipment, industrial lift trucks, container handlers and reach stackers to meet your material handling needs. <br />
        <br />
  Expert consultancy and responsive local service are provided through their world-wide network of distribution partners. Together, they can deliver a complete package of products and solutions to help you improve efficiency, drive down costs and stream-line your materials flow. </p>
	<p><strong>Benefits <br />
	</strong>Receive a 22% discount off the base price for all Hyster fork lifts and pallet jacks. </p>
	<p><strong>How to Use the Program<br />
	</strong>To purchase or obtain a quote on a fork lift or pallet jack, please initially contact the following National Account Manager: </p>
	<p>Robert Bemi<br />
      <span class=""style19"">T</span> 630-668-3404 <span class=""style19"">E</span> <a href=""mailto:ayrbemi@yale.com"">ayrbemi@yale.com</a></p>	</td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<br>
    	<p>Please contact Anne Drolet, DSI Director of Business Development, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3247 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>",0,1
40,"Fleet - Ford","JM","<center>
<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr align=""left"" valign=""top"">
  <td><img src=""images/tn_ford_logo.jpg""> </td>
  <td width=""10""> </td>
  <td>	<p align=""justify""><strong>Program<br />
  </strong>Ford Motor Company offers Johns Manville Contractors the special Competitive Price Allowance (CPA) for 2009 model year vehicles. <strong></strong></p>
    <p align=""justify"">Johns Manville Contractors must acquire a Ford Fleet Identification Number (FIN) by calling <br />
      1-800-34FLEET, pick 1, or by accessing, <a href=""http://www.fleet.ford.com"">www.fleet.ford.com</a>, and hit ""create an account"". When you have been issued a Ford FIN code, email <a href=""mailto:tryan3@ford.com"">tryan3@ford.com</a> and note the FIN code to be listed as a valid code for Johns Manville Contractors and be eligible to participate under the terms of this CPA program. </p>
    <p align=""justify""><span style=""font-weight: bold"">B</span><strong>enefits <br />
    </strong>The incentives offered range up to $6,000 off the invoice price. </p>
    <p align=""justify""><strong>How to use the program<br />
    </strong><a href=""dl/082208_Ford.pdf"">Click here</a> to view the details of the program. </p>    </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Anne Drolet, DSI Director of Business Development, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3247 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>
</center>",0,1
41,"Fleet - GM","JM","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
  <tr>
   <td align=""left"" valign=""top""><div align=""center""><img src=""/images/GreenGM.png"" width=""300"" height=""300""></div></td>
   <td></td>
  <td align=""justify"" valign=""top"">
	<p><strong>Program<br />
	</strong>General Motors Fleet and Commercial Operations offers Johns Manville Pinnacle and Summit contractors the Competitive Assistance Program (CAP) for the 2009 model year. </p>
	<p><strong>Benefits <br />
	</strong>Incentives range between $450 and $4,500 off invoice. </p>
	<p><strong>How to use the program<br />
	</strong><a href=""dl/082208_GeneralMotors.pdf"">Click here </a>to view the details of the program. </p>
	</td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<br>
    	<p>Please contact Anne Drolet, DSI Director of Business Development, if you have any questions. <br>
        <span class=""style19"">T</span> 303-827-4483 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:adrolet@dsi-mail.com"">adrolet@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>",0,1
