sID,uID,oID,sType,sTXT,sNum,sDMY,dtHealth,dtAuto,dtGeneral,dtProperty,dtUmbrella,isDeleted
96,6,16,"ynm","yes",,"","","","","","",0
97,6,17,"ynm","no",,"","","","","","",0
98,6,18,"ynm","yes",,"","","","","","",0
99,6,19,"ynm","no",,"","","","","","",0
100,6,20,"ynm","yes",,"","","","","","",0
101,7,1,"ynm","maybe",,"","","","","","",0
102,7,2,"ynm","yes",,"","","","","","",0
103,7,3,"ynm","maybe",,"","","","","","",0
104,7,4,"ynm","maybe",,"","","","","","",0
105,7,5,"ynm","yes",,"","","","","","",0
106,7,6,"ynm","no",,"","","","","","",0
107,7,7,"ynm","yes",,"","","","","","",0
108,7,8,"ynm","no",,"","","","","","",0
109,7,9,"ynm","yes",,"","","","","","",0
110,7,10,"ynm","no",,"","","","","","",0
111,7,11,"ynm","yes",,"","","","","","",0
112,7,12,"ynm","yes",,"","","","","","",0
113,7,13,"ynm","yes",,"","","","","","",0
114,7,14,"ynm","no",,"","","","","","",0
115,7,15,"ynm","no",,"","","","","","",0
116,7,16,"ynm","yes",,"","","","","","",0
117,7,17,"ynm","maybe",,"","","","","","",0
118,7,18,"ynm","yes",,"","","","","","",0
119,7,19,"ynm","maybe",,"","","","","","",0
120,7,20,"ynm","yes",,"","","","","","",0
121,8,1,"ynm","yes",,"","","","","","",0
122,8,2,"ynm","yes",,"","","","","","",0
123,8,3,"ynm","yes",,"","","","","","",0
124,8,4,"ynm","yes",,"","","","","","",0
125,8,5,"ynm","yes",,"","","","","","",0
126,8,6,"ynm","yes",,"","","","","","",0
127,8,7,"ynm","yes",,"","","","","","",0
128,8,8,"ynm","no",,"","","","","","",0
129,8,9,"ynm","yes",,"","","","","","",0
130,8,10,"ynm","yes",,"","","","","","",0
131,8,11,"ynm","yes",,"","","","","","",0
132,8,12,"ynm","",,"","","","","","",0
133,8,13,"ynm","",,"","","","","","",0
134,8,14,"ynm","",,"","","","","","",0
135,8,15,"ynm","",,"","","","","","",0
136,8,16,"ynm","",,"","","","","","",0
137,8,17,"ynm","",,"","","","","","",0
138,8,18,"ynm","",,"","","","","","",0
139,8,19,"ynm","",,"","","","","","",0
140,8,20,"ynm","",,"","","","","","",0
141,9,1,"ynm","yes",,"","","","","","",0
142,9,2,"ynm","yes",,"","","","","","",0
143,9,3,"ynm","yes",,"","","","","","",0
144,9,4,"ynm","yes",,"","","","","","",0
145,9,5,"ynm","yes",,"","","","","","",0
146,9,6,"ynm","no",,"","","","","","",0
147,9,7,"ynm","yes",,"","","","","","",0
148,9,8,"ynm","no",,"","","","","","",0
149,9,9,"ynm","yes",,"","","","","","",0
150,9,10,"ynm","no",,"","","","","","",0
151,9,11,"ynm","no",,"","","","","","",0
152,9,12,"ynm","yes",,"","","","","","",0
153,9,13,"ynm","no",,"","","","","","",0
154,9,14,"ynm","yes",,"","","","","","",0
155,9,15,"ynm","yes",,"","","","","","",0
156,9,16,"ynm","no",,"","","","","","",0
157,9,17,"ynm","yes",,"","","","","","",0
158,9,18,"ynm","yes",,"","","","","","",0
159,9,19,"ynm","no",,"","","","","","",0
160,9,20,"ynm","yes",,"","","","","","",0
161,10,1,"ynm","maybe",,"","","","","","",0
162,10,2,"ynm","yes",,"","","","","","",0
163,10,3,"ynm","yes",,"","","","","","",0
164,10,4,"ynm","maybe",,"","","","","","",0
165,10,5,"ynm","no",,"","","","","","",0
166,10,6,"ynm","no",,"","","","","","",0
167,10,7,"ynm","yes",,"","","","","","",0
168,10,8,"ynm","yes",,"","","","","","",0
169,10,9,"ynm","no",,"","","","","","",0
170,10,10,"ynm","yes",,"","","","","","",0
171,10,11,"ynm","yes",,"","","","","","",0
172,10,12,"ynm","yes",,"","","","","","",0
173,10,13,"ynm","yes",,"","","","","","",0
174,10,14,"ynm","no",,"","","","","","",0
175,10,15,"ynm","yes",,"","","","","","",0
176,10,16,"ynm","no",,"","","","","","",0
177,10,17,"ynm","yes",,"","","","","","",0
178,10,18,"ynm","yes",,"","","","","","",0
179,10,19,"ynm","no",,"","","","","","",0
180,10,20,"ynm","no",,"","","","","","",0
181,11,1,"ynm","yes",,"","","","","","",0
182,11,2,"ynm","yes",,"","","","","","",0
183,11,3,"ynm","yes",,"","","","","","",0
184,11,4,"ynm","yes",,"","","","","","",0
185,11,5,"ynm","yes",,"","","","","","",0
186,11,6,"ynm","yes",,"","","","","","",0
187,11,7,"ynm","yes",,"","","","","","",0
188,11,8,"ynm","yes",,"","","","","","",0
189,11,9,"ynm","yes",,"","","","","","",0
190,11,10,"ynm","",,"","","","","","",0
191,11,11,"ynm","yes",,"","","","","","",0
192,11,12,"ynm","yes",,"","","","","","",0
193,11,13,"ynm","yes",,"","","","","","",0
194,11,14,"ynm","yes",,"","","","","","",0
195,11,15,"ynm","yes",,"","","","","","",0
196,11,16,"ynm","yes",,"","","","","","",0
197,11,17,"ynm","yes",,"","","","","","",0
198,11,18,"ynm","yes",,"","","","","","",0
199,11,19,"ynm","yes",,"","","","","","",0
200,11,20,"ynm","yes",,"","","","","","",0
201,12,1,"ynm","yes",,"","","","","","",0
202,12,2,"ynm","yes",,"","","","","","",0
203,12,3,"ynm","yes",,"","","","","","",0
204,12,4,"ynm","yes",,"","","","","","",0
205,12,5,"ynm","maybe",,"","","","","","",0
206,12,6,"ynm","yes",,"","","","","","",0
207,12,7,"ynm","yes",,"","","","","","",0
208,12,8,"ynm","yes",,"","","","","","",0
209,12,9,"ynm","yes",,"","","","","","",0
210,12,10,"ynm","yes",,"","","","","","",0
211,12,11,"ynm","yes",,"","","","","","",0
212,12,12,"ynm","yes",,"","","","","","",0
213,12,13,"ynm","yes",,"","","","","","",0
214,12,14,"ynm","yes",,"","","","","","",0
215,12,15,"ynm","yes",,"","","","","","",0
216,12,16,"ynm","yes",,"","","","","","",0
217,12,17,"ynm","yes",,"","","","","","",0
218,12,18,"ynm","yes",,"","","","","","",0
219,12,19,"ynm","yes",,"","","","","","",0
220,12,20,"ynm","",,"","","","","","",0
221,13,1,"ynm","yes",,"","","","","","",0
222,13,2,"ynm","yes",,"","","","","","",0
223,13,3,"ynm","yes",,"","","","","","",0
224,13,4,"ynm","yes",,"","","","","","",0
225,13,5,"ynm","yes",,"","","","","","",0
226,13,6,"ynm","yes",,"","","","","","",0
227,13,7,"ynm","yes",,"","","","","","",0
228,13,8,"ynm","yes",,"","","","","","",0
229,13,9,"ynm","yes",,"","","","","","",0
230,13,10,"ynm","yes",,"","","","","","",0
231,13,11,"ynm","yes",,"","","","","","",0
232,13,12,"ynm","yes",,"","","","","","",0
233,13,13,"ynm","yes",,"","","","","","",0
234,13,14,"ynm","yes",,"","","","","","",0
235,13,15,"ynm","yes",,"","","","","","",0
236,13,16,"ynm","yes",,"","","","","","",0
237,13,17,"ynm","yes",,"","","","","","",0
238,13,18,"ynm","yes",,"","","","","","",0
239,13,19,"ynm","yes",,"","","","","","",0
240,13,20,"ynm","yes",,"","","","","","",0
241,14,1,"ynm","yes",,"","","","","","",0
242,14,2,"ynm","yes",,"","","","","","",0
243,14,3,"ynm","yes",,"","","","","","",0
244,14,4,"ynm","yes",,"","","","","","",0
245,14,5,"ynm","yes",,"","","","","","",0
246,14,6,"ynm","yes",,"","","","","","",0
247,14,7,"ynm","yes",,"","","","","","",0
248,14,8,"ynm","yes",,"","","","","","",0
249,14,9,"ynm","yes",,"","","","","","",0
250,14,10,"ynm","yes",,"","","","","","",0
251,14,11,"ynm","yes",,"","","","","","",0
252,14,12,"ynm","yes",,"","","","","","",0
253,14,13,"ynm","yes",,"","","","","","",0
254,14,14,"ynm","yes",,"","","","","","",0
255,14,15,"ynm","",,"","","","","","",0
256,14,16,"ynm","",,"","","","","","",0
257,14,17,"ynm","",,"","","","","","",0
258,14,18,"ynm","",,"","","","","","",0
259,14,19,"ynm","",,"","","","","","",0
260,14,20,"ynm","",,"","","","","","",0
261,15,1,"ynm","yes",,"","","","","","",0
262,15,2,"ynm","maybe",,"","","","","","",0
263,15,3,"ynm","no",,"","","","","","",0
264,15,4,"ynm","no",,"","","","","","",0
265,15,5,"ynm","maybe",,"","","","","","",0
266,15,6,"ynm","yes",,"","","","","","",0
267,15,7,"ynm","no",,"","","","","","",0
268,15,8,"ynm","no",,"","","","","","",0
269,15,9,"ynm","no",,"","","","","","",0
270,15,10,"ynm","no",,"","","","","","",0
271,15,11,"ynm","no",,"","","","","","",0
272,15,12,"ynm","no",,"","","","","","",0
273,15,13,"ynm","yes",,"","","","","","",0
274,15,14,"ynm","maybe",,"","","","","","",0
275,15,15,"ynm","no",,"","","","","","",0
276,15,16,"ynm","yes",,"","","","","","",0
277,15,17,"ynm","no",,"","","","","","",0
278,15,18,"ynm","no",,"","","","","","",0
279,15,19,"ynm","no",,"","","","","","",0
280,15,20,"ynm","maybe",,"","","","","","",0
281,16,1,"ynm","yes",,"","","","","","",0
282,16,2,"ynm","yes",,"","","","","","",0
283,16,3,"ynm","yes",,"","","","","","",0
284,16,4,"ynm","yes",,"","","","","","",0
285,16,5,"ynm","yes",,"","","","","","",0
286,16,6,"ynm","yes",,"","","","","","",0
287,16,7,"ynm","yes",,"","","","","","",0
288,16,8,"ynm","no",,"","","","","","",0
289,16,9,"ynm","yes",,"","","","","","",0
290,16,10,"ynm","no",,"","","","","","",0
291,16,11,"ynm","yes",,"","","","","","",0
292,16,12,"ynm","yes",,"","","","","","",0
293,16,13,"ynm","yes",,"","","","","","",0
294,16,14,"ynm","yes",,"","","","","","",0
295,16,15,"ynm","yes",,"","","","","","",0
296,16,16,"ynm","yes",,"","","","","","",0
297,16,17,"ynm","yes",,"","","","","","",0
298,16,18,"ynm","yes",,"","","","","","",0
299,16,19,"ynm","maybe",,"","","","","","",0
300,16,20,"ynm","yes",,"","","","","","",0
301,17,1,"ynm","yes",,"","","","","","",0
302,17,2,"ynm","yes",,"","","","","","",0
303,17,3,"ynm","yes",,"","","","","","",0
304,17,4,"ynm","yes",,"","","","","","",0
305,17,5,"ynm","yes",,"","","","","","",0
306,17,6,"ynm","",,"","","","","","",0
307,17,7,"ynm","",,"","","","","","",0
308,17,8,"ynm","",,"","","","","","",0
309,17,9,"ynm","",,"","","","","","",0
310,17,10,"ynm","",,"","","","","","",0
311,17,11,"ynm","",,"","","","","","",0
312,17,12,"ynm","",,"","","","","","",0
313,17,13,"ynm","",,"","","","","","",0
314,17,14,"ynm","",,"","","","","","",0
315,17,15,"ynm","",,"","","","","","",0
316,17,16,"ynm","",,"","","","","","",0
317,17,17,"ynm","",,"","","","","","",0
318,17,18,"ynm","",,"","","","","","",0
319,17,19,"ynm","",,"","","","","","",0
320,17,20,"ynm","",,"","","","","","",0
321,18,1,"ynm","yes",,"","","","","","",0
322,18,2,"ynm","yes",,"","","","","","",0
323,18,3,"ynm","no",,"","","","","","",0
324,18,4,"ynm","maybe",,"","","","","","",0
325,18,5,"ynm","yes",,"","","","","","",0
326,18,6,"ynm","no",,"","","","","","",0
327,18,7,"ynm","yes",,"","","","","","",0
328,18,8,"ynm","no",,"","","","","","",0
329,18,9,"ynm","yes",,"","","","","","",0
330,18,10,"ynm","no",,"","","","","","",0
331,18,11,"ynm","yes",,"","","","","","",0
332,18,12,"ynm","no",,"","","","","","",0
333,18,13,"ynm","no",,"","","","","","",0
334,18,14,"ynm","yes",,"","","","","","",0
335,18,15,"ynm","no",,"","","","","","",0
336,18,16,"ynm","yes",,"","","","","","",0
337,18,17,"ynm","yes",,"","","","","","",0
338,18,18,"ynm","no",,"","","","","","",0
339,18,19,"ynm","no",,"","","","","","",0
340,18,20,"ynm","yes",,"","","","","","",0
341,19,1,"ynm","yes",,"","","","","","",0
342,19,2,"ynm","yes",,"","","","","","",0
343,19,3,"ynm","yes",,"","","","","","",0
344,19,4,"ynm","yes",,"","","","","","",0
345,19,5,"ynm","yes",,"","","","","","",0
346,19,6,"ynm","maybe",,"","","","","","",0
347,19,7,"ynm","yes",,"","","","","","",0
348,19,8,"ynm","yes",,"","","","","","",0
349,19,9,"ynm","yes",,"","","","","","",0
350,19,10,"ynm","maybe",,"","","","","","",0
351,19,11,"ynm","maybe",,"","","","","","",0
352,19,12,"ynm","yes",,"","","","","","",0
353,19,13,"ynm","yes",,"","","","","","",0
354,19,14,"ynm","yes",,"","","","","","",0
355,19,15,"ynm","yes",,"","","","","","",0
356,19,16,"ynm","yes",,"","","","","","",0
357,19,17,"ynm","yes",,"","","","","","",0
358,19,18,"ynm","yes",,"","","","","","",0
359,19,19,"ynm","no",,"","","","","","",0
360,19,20,"ynm","yes",,"","","","","","",0
361,20,1,"ynm","yes",,"","","","","","",0
362,20,2,"ynm","yes",,"","","","","","",0
363,20,3,"ynm","yes",,"","","","","","",0
364,20,4,"ynm","yes",,"","","","","","",0
365,20,5,"ynm","yes",,"","","","","","",0
366,20,6,"ynm","",,"","","","","","",0
367,20,7,"ynm","",,"","","","","","",0
368,20,8,"ynm","",,"","","","","","",0
369,20,9,"ynm","",,"","","","","","",0
370,20,10,"ynm","",,"","","","","","",0
371,20,11,"ynm","",,"","","","","","",0
372,20,12,"ynm","",,"","","","","","",0
373,20,13,"ynm","",,"","","","","","",0
374,20,14,"ynm","",,"","","","","","",0
375,20,15,"ynm","",,"","","","","","",0
376,20,16,"ynm","",,"","","","","","",0
377,20,17,"ynm","",,"","","","","","",0
378,20,18,"ynm","",,"","","","","","",0
379,20,19,"ynm","",,"","","","","","",0
380,20,20,"ynm","",,"","","","","","",0
381,21,1,"ynm","yes",,"","","","","","",0
382,21,2,"ynm","yes",,"","","","","","",0
383,21,3,"ynm","yes",,"","","","","","",0
384,21,4,"ynm","yes",,"","","","","","",0
385,21,5,"ynm","yes",,"","","","","","",0
386,21,6,"ynm","",,"","","","","","",0
387,21,7,"ynm","",,"","","","","","",0
388,21,8,"ynm","",,"","","","","","",0
389,21,9,"ynm","",,"","","","","","",0
390,21,10,"ynm","",,"","","","","","",0
391,21,11,"ynm","",,"","","","","","",0
392,21,12,"ynm","",,"","","","","","",0
393,21,13,"ynm","",,"","","","","","",0
394,21,14,"ynm","",,"","","","","","",0
395,21,15,"ynm","",,"","","","","","",0
396,21,16,"ynm","",,"","","","","","",0
397,21,17,"ynm","",,"","","","","","",0
398,21,18,"ynm","",,"","","","","","",0
399,21,19,"ynm","",,"","","","","","",0
400,21,20,"ynm","",,"","","","","","",0
401,22,1,"ynm","yes",,"","","","","","",0
402,22,2,"ynm","yes",,"","","","","","",0
403,22,3,"ynm","yes",,"","","","","","",0
404,22,4,"ynm","yes",,"","","","","","",0
405,22,5,"ynm","yes",,"","","","","","",0
406,22,6,"ynm","yes",,"","","","","","",0
407,22,7,"ynm","yes",,"","","","","","",0
409,22,9,"ynm","yes",,"","","","","","",0
410,22,10,"ynm","",,"","","","","","",0
411,22,11,"ynm","yes",,"","","","","","",0
412,22,12,"ynm","yes",,"","","","","","",0
413,22,13,"ynm","yes",,"","","","","","",0
414,22,14,"ynm","yes",,"","","","","","",0
415,22,15,"ynm","yes",,"","","","","","",0
416,22,16,"ynm","yes",,"","","","","","",0
417,22,17,"ynm","yes",,"","","","","","",0
418,22,18,"ynm","yes",,"","","","","","",0
419,22,19,"ynm","no",,"","","","","","",0
420,22,20,"ynm","yes",,"","","","","","",0
421,23,1,"ynm","yes",,"","","","","","",0
422,23,2,"ynm","yes",,"","","","","","",0
423,23,3,"ynm","yes",,"","","","","","",0
424,23,4,"ynm","yes",,"","","","","","",0
425,23,5,"ynm","yes",,"","","","","","",0
426,23,6,"ynm","yes",,"","","","","","",0
427,23,7,"ynm","yes",,"","","","","","",0
428,23,8,"ynm","yes",,"","","","","","",0
429,23,9,"ynm","yes",,"","","","","","",0
430,23,10,"ynm","",,"","","","","","",0
431,23,11,"ynm","yes",,"","","","","","",0
432,23,12,"ynm","yes",,"","","","","","",0
433,23,13,"ynm","yes",,"","","","","","",0
434,23,14,"ynm","yes",,"","","","","","",0
435,23,15,"ynm","yes",,"","","","","","",0
436,23,16,"ynm","yes",,"","","","","","",0
437,23,17,"ynm","yes",,"","","","","","",0
438,23,18,"ynm","yes",,"","","","","","",0
439,23,19,"ynm","yes",,"","","","","","",0
440,23,20,"ynm","yes",,"","","","","","",0
441,24,1,"ynm","yes",,"","","","","","",0
442,24,2,"ynm","yes",,"","","","","","",0
443,24,3,"ynm","yes",,"","","","","","",0
444,24,4,"ynm","no",,"","","","","","",0
445,24,5,"ynm","yes",,"","","","","","",0
446,24,6,"ynm","yes",,"","","","","","",0
447,24,7,"ynm","yes",,"","","","","","",0
448,24,8,"ynm","no",,"","","","","","",0
449,24,9,"ynm","maybe",,"","","","","","",0
450,24,10,"ynm","",,"","","","","","",0
451,24,11,"ynm","maybe",,"","","","","","",0
452,24,12,"ynm","maybe",,"","","","","","",0
453,24,13,"ynm","no",,"","","","","","",0
454,24,14,"ynm","no",,"","","","","","",0
455,24,15,"ynm","no",,"","","","","","",0
456,24,16,"ynm","yes",,"","","","","","",0
457,24,17,"ynm","yes",,"","","","","","",0
458,24,18,"ynm","maybe",,"","","","","","",0
459,24,19,"ynm","no",,"","","","","","",0
460,24,20,"ynm","yes",,"","","","","","",0
461,25,1,"ynm","no",,"","","","","","",0
462,25,2,"ynm","yes",,"","","","","","",0
463,25,3,"ynm","no",,"","","","","","",0
464,25,4,"ynm","yes",,"","","","","","",0
465,25,5,"ynm","yes",,"","","","","","",0
466,25,6,"ynm","",,"","","","","","",0
467,25,7,"ynm","",,"","","","","","",0
468,25,8,"ynm","",,"","","","","","",0
469,25,9,"ynm","",,"","","","","","",0
470,25,10,"ynm","",,"","","","","","",0
471,25,11,"ynm","",,"","","","","","",0
472,25,12,"ynm","",,"","","","","","",0
473,25,13,"ynm","",,"","","","","","",0
474,25,14,"ynm","",,"","","","","","",0
475,25,15,"ynm","",,"","","","","","",0
476,25,16,"ynm","",,"","","","","","",0
477,25,17,"ynm","",,"","","","","","",0
478,25,18,"ynm","",,"","","","","","",0
479,25,19,"ynm","",,"","","","","","",0
480,25,20,"ynm","",,"","","","","","",0
481,26,1,"ynm","yes",,"","","","","","",0
482,26,2,"ynm","yes",,"","","","","","",0
483,26,3,"ynm","yes",,"","","","","","",0
484,26,4,"ynm","yes",,"","","","","","",0
485,26,5,"ynm","yes",,"","","","","","",0
486,26,6,"ynm","yes",,"","","","","","",0
487,26,7,"ynm","yes",,"","","","","","",0
488,26,8,"ynm","yes",,"","","","","","",0
489,26,9,"ynm","yes",,"","","","","","",0
490,26,10,"ynm","yes",,"","","","","","",0
491,26,11,"ynm","yes",,"","","","","","",0
492,26,12,"ynm","yes",,"","","","","","",0
493,26,13,"ynm","yes",,"","","","","","",0
494,26,14,"ynm","no",,"","","","","","",0
495,26,15,"ynm","yes",,"","","","","","",0
496,26,16,"ynm","yes",,"","","","","","",0
497,26,17,"ynm","yes",,"","","","","","",0
498,26,18,"ynm","yes",,"","","","","","",0
499,26,19,"ynm","no",,"","","","","","",0
500,26,20,"ynm","yes",,"","","","","","",0
501,27,1,"ynm","yes",,"","","","","","",0
502,27,2,"ynm","yes",,"","","","","","",0
503,27,3,"ynm","yes",,"","","","","","",0
504,27,4,"ynm","maybe",,"","","","","","",0
505,27,5,"ynm","no",,"","","","","","",0
506,27,6,"ynm","yes",,"","","","","","",0
507,27,7,"ynm","yes",,"","","","","","",0
508,27,8,"ynm","yes",,"","","","","","",0
509,27,9,"ynm","yes",,"","","","","","",0
510,27,10,"ynm","no",,"","","","","","",0
511,27,11,"ynm","yes",,"","","","","","",0
512,27,12,"ynm","no",,"","","","","","",0
513,27,13,"ynm","yes",,"","","","","","",0
514,27,14,"ynm","no",,"","","","","","",0
515,27,15,"ynm","maybe",,"","","","","","",0
516,27,16,"ynm","yes",,"","","","","","",0
517,27,17,"ynm","yes",,"","","","","","",0
518,27,18,"ynm","yes",,"","","","","","",0
519,27,19,"ynm","maybe",,"","","","","","",0
520,27,20,"ynm","",,"","","","","","",0
521,28,1,"ynm","no",,"","","","","","",0
522,28,2,"ynm","no",,"","","","","","",0
523,28,3,"ynm","yes",,"","","","","","",0
524,28,4,"ynm","yes",,"","","","","","",0
525,28,5,"ynm","yes",,"","","","","","",0
526,28,6,"ynm","no",,"","","","","","",0
527,28,7,"ynm","no",,"","","","","","",0
528,28,8,"ynm","no",,"","","","","","",0
529,28,9,"ynm","yes",,"","","","","","",0
530,28,10,"ynm","no",,"","","","","","",0
531,28,11,"ynm","no",,"","","","","","",0
532,28,12,"ynm","no",,"","","","","","",0
533,28,13,"ynm","no",,"","","","","","",0
534,28,14,"ynm","no",,"","","","","","",0
535,28,15,"ynm","no",,"","","","","","",0
536,28,16,"ynm","no",,"","","","","","",0
537,28,17,"ynm","no",,"","","","","","",0
538,28,18,"ynm","no",,"","","","","","",0
539,28,19,"ynm","yes",,"","01/01/10 00:00:00","","","","",0
540,28,20,"ynm","yes",,"","","","","","",0
541,29,1,"ynm","yes",,"","","","","","",0
542,29,2,"ynm","yes",,"","","","","","",0
543,29,3,"ynm","yes",,"","","","","","",0
544,29,4,"ynm","yes",,"","","","","","",0
545,29,5,"ynm","yes",,"","","","","","",0
546,29,6,"ynm","",,"","","","","","",0
547,29,7,"ynm","",,"","","","","","",0
548,29,8,"ynm","",,"","","","","","",0
549,29,9,"ynm","",,"","","","","","",0
550,29,10,"ynm","",,"","","","","","",0
551,29,11,"ynm","",,"","","","","","",0
552,29,12,"ynm","",,"","","","","","",0
553,29,13,"ynm","",,"","","","","","",0
554,29,14,"ynm","",,"","","","","","",0
555,29,15,"ynm","",,"","","","","","",0
556,29,16,"ynm","",,"","","","","","",0
557,29,17,"ynm","",,"","","","","","",0
558,29,18,"ynm","",,"","","","","","",0
559,29,19,"ynm","",,"","","","","","",0
560,29,20,"ynm","",,"","","","","","",0
561,30,1,"ynm","yes",,"","","","","","",0
562,30,2,"ynm","maybe",,"","","","","","",0
563,30,3,"ynm","maybe",,"","","","","","",0
564,30,4,"ynm","yes",,"","","","","","",0
565,30,5,"ynm","yes",,"","","","","","",0
566,30,6,"ynm","maybe",,"","","","","","",0
567,30,7,"ynm","yes",,"","","","","","",0
568,30,8,"ynm","maybe",,"","","","","","",0
569,30,9,"ynm","yes",,"","","","","","",0
570,30,10,"ynm","",,"","","","","","",0
571,30,11,"ynm","yes",,"","","","","","",0
572,30,12,"ynm","maybe",,"","","","","","",0
573,30,13,"ynm","yes",,"","","","","","",0
574,30,14,"ynm","yes",,"","","","","","",0
575,30,15,"ynm","maybe",,"","","","","","",0
576,30,16,"ynm","yes",,"","","","","","",0
577,30,17,"ynm","yes",,"","","","","","",0
578,30,18,"ynm","yes",,"","","","","","",0
579,30,19,"ynm","maybe",,"","","","","","",0
580,30,20,"ynm","yes",,"","","","","","",0
581,31,1,"ynm","yes",,"","","","","","",0
582,31,2,"ynm","yes",,"","","","","","",0
583,31,3,"ynm","yes",,"","","","","","",0
584,31,4,"ynm","yes",,"","","","","","",0
